Company,TypeName,Ram,Weight,TouchScreen,IPS,PPI,HDD,SSD,Price
HP,Notebook,16,2.5,0,0,127.3356746,0,512,67718.88
Acer,Notebook,4,2.1,0,0,100.4546699,0,256,24029.28
HP,Notebook,4,1.86,0,0,100.4546699,500,0,13799.52
HP,Notebook,8,1.63,0,0,157.3505121,1000,0,43263.36
Asus,Notebook,4,1.65,0,0,111.9352036,0,64,14811.3072
Dell,Notebook,16,2.8,0,0,127.3356746,2000,256,74378.88
HP,Notebook,8,2.5,0,0,127.3356746,0,256,49443.84
Dell,Notebook,8,2.36,0,0,100.4546699,1000,0,34045.3872
Dell,Notebook,4,2.2,0,0,141.2119981,1000,0,23922.72
Acer,Ultrabook,8,1.6,0,1,157.3505121,0,256,47099.52
Acer,Notebook,4,2.2,0,0,141.2119981,0,256,30476.16
HP,Notebook,8,2.05,0,0,100.4546699,1000,0,31861.44
HP,Notebook,8,1.63,0,0,157.3505121,0,256,52640.64
Lenovo,Notebook,4,1.9,0,0,100.4546699,1000,0,13445.7408
Asus,Gaming,8,3.0,0,0,127.3356746,1000,128,49976.64
Lenovo,Notebook,4,2.2,0,0,141.2119981,1000,0,26586.72
HP,Notebook,4,1.32,0,1,165.6321181,0,256,37242.72
Acer,Notebook,4,3.0,0,1,127.3356746,1000,0,34898.4
Lenovo,Notebook,8,1.75,0,1,157.3505121,0,256,59461.5456
Lenovo,Gaming,8,2.4,0,1,141.2119981,0,256,46300.32
Toshiba,Notebook,4,2.1,0,0,100.4546699,500,0,32074.56
HP,Notebook,4,1.86,0,0,100.4546699,0,256,19660.32
Asus,Ultrabook,8,1.25,0,0,157.3505121,0,256,58554.72
HP,Ultrabook,8,0.97,1,1,352.4651472,0,512,107305.92
Asus,Notebook,4,2.0,0,0,141.2119981,1000,0,18328.32
MSI,Gaming,16,2.9,0,0,127.3356746,1000,256,108105.12
Acer,Notebook,4,2.1,0,0,100.4546699,1000,0,23816.16
Dell,Gaming,16,2.56,0,0,141.2119981,0,512,66560.5728
Dell,Gaming,8,2.62,0,0,141.2119981,0,0,47898.72
Lenovo,Notebook,4,1.9,0,0,100.4546699,0,128,26533.44
MSI,Gaming,16,2.8,0,0,127.3356746,1000,256,100699.2
HP,Ultrabook,4,1.48,0,0,157.3505121,0,256,57648.96
HP,Notebook,6,1.91,0,0,141.2119981,0,256,32980.32
Lenovo,2 in 1 Convertible,4,1.74,1,1,157.3505121,0,256,33513.12
Asus,2 in 1 Convertible,8,1.1,1,0,165.6321181,0,256,70063.2
Dell,2 in 1 Convertible,8,1.56,1,0,141.2119981,0,256,55890.72
Toshiba,Notebook,4,2.1,0,0,100.4546699,500,0,23816.16
Asus,Notebook,4,2.03,0,0,100.4546699,1000,0,21471.84
Acer,Notebook,4,3.0,0,1,127.3356746,0,256,42890.4
Dell,Notebook,8,2.13,0,0,141.2119981,0,256,38787.84
Lenovo,Gaming,16,2.5,0,1,141.2119981,0,256,57489.12
Acer,Notebook,4,2.1,0,0,100.4546699,1000,0,18541.44
MSI,Gaming,16,2.4,0,1,141.2119981,1000,256,95850.72
Acer,Notebook,4,2.1,0,0,100.4546699,1000,0,19367.8128
Dell,Gaming,8,2.56,0,0,141.2119981,1000,128,56502.9072
Acer,Notebook,8,3.0,0,1,127.3356746,0,256,45501.12
HP,Notebook,4,1.49,0,1,165.6321181,500,0,40173.12
Huawei,Ultrabook,8,1.05,0,1,199.6920706,0,256,71874.72
HP,Notebook,6,2.71,0,1,127.3356746,2000,0,37242.72
Lenovo,Notebook,4,2.2,0,0,100.4546699,500,0,16463.52
Toshiba,Notebook,4,2.0,0,0,100.4546699,500,0,26053.92
HP,Notebook,8,2.5,0,0,127.3356746,0,256,49177.44
Dell,Notebook,8,2.3,0,0,100.4546699,1000,0,24455.52
Acer,Notebook,4,2.1,0,0,100.4546699,0,128,23922.72
MSI,Gaming,32,4.4,0,0,119.7232158,1000,512,149130.72
Lenovo,Notebook,8,1.9,0,0,141.2119981,1000,128,43316.64
HP,2 in 1 Convertible,8,1.29,1,1,331.2642361,0,256,79866.72
Dell,Notebook,16,2.02,0,0,141.2119981,2000,256,55890.72
Dell,Ultrabook,8,1.23,0,0,165.6321181,0,256,74538.72
Lenovo,2 in 1 Convertible,16,1.4,1,1,316.9650604,0,512,98514.72
Toshiba,Notebook,8,2.0,0,0,100.4546699,0,128,42251.04
Xiaomi,Notebook,8,1.95,0,1,141.2119981,0,256,63882.72
Dell,Notebook,16,2.77,1,0,127.3356746,0,512,82530.72
Dell,Notebook,16,2.06,1,0,282.4239962,0,512,127712.16
Lenovo,Gaming,8,2.4,0,1,141.2119981,0,256,41505.12
Acer,Ultrabook,8,1.12,0,1,165.6321181,0,256,52693.92
Dell,Notebook,8,2.8,0,0,127.3356746,1000,128,57808.8
Lenovo,2 in 1 Convertible,16,1.42,1,0,209.8006829,0,1000,150462.72
Vero,Notebook,4,1.3,0,1,157.3505121,0,0,13852.8
Xiaomi,Ultrabook,8,1.3,0,1,165.6321181,0,256,53274.672
Lenovo,Notebook,8,2.8,0,0,106.1130621,0,256,37189.44
Dell,2 in 1 Convertible,8,1.62,1,1,165.6321181,1000,0,44701.92
HP,Notebook,8,2.5,0,1,127.3356746,1000,0,48697.92
Razer,Gaming,32,3.49,1,0,254.6713491,0,1000,324954.72
HP,Notebook,8,1.49,0,0,165.6321181,0,512,51095.52
HP,Gaming,16,3.35,0,1,127.3356746,1000,256,73473.12
HP,Notebook,8,2.5,0,0,127.3356746,0,256,55677.6
Dell,Gaming,16,2.65,0,1,282.4239962,1000,512,98301.6
Lenovo,Notebook,4,2.1,0,0,100.4546699,0,128,26267.04
Acer,Notebook,8,2.23,0,0,141.2119981,1000,0,39533.76
Lenovo,Gaming,16,3.2,0,1,141.2119981,1000,512,93186.72
Dell,Workstation,16,2.8,0,0,282.4239962,1000,256,162770.4
Lenovo,Gaming,16,2.4,0,0,141.2119981,0,512,74485.44
Dell,Notebook,6,2.3,1,0,100.4546699,1000,0,23389.92
Dell,Ultrabook,8,1.21,1,1,331.2642361,0,256,103842.72
Dell,Ultrabook,8,1.2,0,0,165.6321181,0,256,77202.72
Lenovo,Notebook,8,2.2,0,0,100.4546699,0,256,31808.16
Acer,Notebook,8,2.4,0,0,141.2119981,1000,0,41505.12
Asus,Gaming,16,2.9,0,0,127.3356746,1000,256,74964.96
HP,Notebook,4,2.1,0,0,141.2119981,500,0,18594.72
Lenovo,Notebook,8,2.2,0,0,141.2119981,0,256,29250.72
Huawei,Ultrabook,8,1.05,0,1,199.6920706,0,512,79866.72
Dell,Ultrabook,8,1.4,0,1,165.6321181,0,256,49650.5664
Lenovo,Notebook,8,2.8,0,0,106.1130621,1000,0,31381.92
HP,Notebook,8,1.63,0,0,157.3505121,0,256,54931.68
Dell,Ultrabook,8,1.6,0,0,157.3505121,0,256,61218.72
Dell,2 in 1 Convertible,16,1.62,1,0,165.6321181,0,512,68145.12
Dell,Notebook,8,2.2,0,0,141.2119981,0,256,36089.208
Lenovo,2 in 1 Convertible,8,1.74,0,1,157.3505121,0,256,47898.72
Toshiba,Ultrabook,8,1.2,0,0,165.6321181,0,256,72620.64
HP,Notebook,8,2.1,0,0,141.2119981,1000,0,42304.32
Dell,Gaming,16,4.42,0,1,127.3356746,1000,256,130873.7952
Acer,Notebook,8,2.2,0,0,141.2119981,0,256,44328.96
Dell,Notebook,16,2.3,1,0,141.2119981,1000,0,45768.0528
Asus,Notebook,8,2.0,0,0,141.2119981,0,256,40972.32
Asus,Notebook,8,2.69,0,0,127.3356746,500,256,47472.48
